Year,World,Africa,Asia and Oceania,Central and South America,Eurasia,Europe,Middle East,North America,EU28,OECD,OPEC,Persian Gulf,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belarus,Belgium,Benin,Bolivia,Botswana,Brazil,Brunei Darussalam,Bulgaria,Burma,Cambodia,Cameroon,Canada,Chile,China,Colombia,Congo,Croatia,Cuba,Cyprus,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Eritrea,Estonia,Ethiopia,Finland,France,Gabon,Georgia,Germany,Ghana,Gibraltar,Greece,Guatemala,Haiti,Honduras,Hungary,Iceland,India,Indonesia,Iraq,Ireland,Israel,Italy,Ivory Coast,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kosovo,Kuwait,Kyrgyzstan,Latvia,Lebanon,Libya,Lithuania,Malaysia,Malta,Mauritius,Mexico,Mongolia,Montenegro,Morocco,Mozambique,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Norway,NZ,Oman,Pakistan,Panama,Paraguay,Peru,Poland,Portugal,Qatar,Romania,Russian Federation & USSR,Senegal,Serbia,Singapore,Slovakia,Slovenia,South Africa,Spain,Sudan,Suriname,Sweden,Tajikistan,Thailand,Togo,Tunisia,Turkey,Ukraine,United Kingdom,United States of America,Uruguay,Uzbekistan,Yemen,Zambia,Zimbabwe
1952,9.826656257,0.003690941,0.053198426,0.162583836,0.237616642,0.351910929,0,9.017655483,0.351140601,9.175357406,0.082173001,0,0.000216779,0.003560873,0,0.034672799,,0,0.017920725,,0,0,,0.004383987,,0,,0.000291887,0.00228583,0,0.000130067,,,0.106069714,0.00244271,0,0.009223219,,,,,0,,0,0,,,,,,0.022381986,,,0.007440223,,,0,,,,0.020580448,,0,0.046347254,0,0,0,0.054989107,,,0.003698228,,,,,0,,,,0,,0,,,0.059759369,,,0,,,,0.00101981,,,0,0,,0,0,,,0.016488781,0.009810312,,0,0.199579617,0.237616642,,,,,,,0.013034386,,,,,0,,0.000130067,0,0,0,8.8518264,,,,,
1953,10.39084177,0.003996248,0.067475457,0.188650696,0.255631438,0.418477059,0,9.45661087,0.417094561,9.655625137,0.101150258,0,0.000433557,0.003692758,0,0.026950572,,0,0.022200898,,0,0,,0.003889021,,0,,0.001125851,0.002697279,0,0.000216779,,,0.120812179,0.002898131,0,0.021882539,,,,,0,,0,0,,,,,,0.020186163,,,0.008060241,,,0,,,,0.022597332,,0,0.059223899,0,0,0,0.087491392,,,0.004470386,,,,,0,,,,0,,0,,,0.059759369,,,0.000173423,,,,0.00305943,,,0,0,,0,0,,,0.016488781,0.009998369,,0,0.225448811,0.255631438,,,,,,,0.013813851,,,,,0,,0.000130067,0,0,0.000349054,9.276039321,,,,,
1954,10.8993534,0.004432833,0.078815066,0.207031697,0.279601538,0.467050756,0,9.86242151,0.465510101,10.10263112,0.113754167,0,0.000433557,0.003912565,0,0.027298072,,0,0.025001011,,0,0,,0.004242568,,0,,0.002626987,0.003108729,0,0.000216779,,,0.144425469,0.003726168,0,0.024640462,,,,,0,,0,0,,,,,,0.022728695,,,0.011625348,,,0,,,,0.02296778,,0,0.068588733,0,0,0,0.11385393,,,0.005730222,,,,,0,,,,0,,0,,,0.059759369,,,0.000346846,,,,0.005169382,,,0,0,,0,0,,,0.016488781,0.01122074,,0,0.234756885,0.279601538,,,,,,,0.013943762,,,,,0,,0.000173423,0,0,0,9.658236672,,,,,
1955,11.85682656,0.004389477,0.100313109,0.2210445,0.333534263,0.523420561,0.027469799,10.64665485,0.521425892,10.93047961,0.154684946,0.027469799,0.000650336,0.003912565,0,0.027761406,,0,0.030641239,,0,0,,0.005656758,,0.000226059,,0.002585289,0.003520178,0,0.000260134,,,0.180331187,0.004637009,0.004769128,0.024369191,,,,,0,,0,0,,,,,,0.024423716,,,0.018600557,,,0,,,,0.022432688,,0,0.082722694,0.01435074,0,0,0.139180386,,,0.00633982,,,,,0,,,,0,,0,,,0.076774189,,,0.00030349,,,,0.004747392,,,0,0,,0,0.001573906,,,0.016488781,0.01231774,,0,0.248577965,0.333534263,,,,,,,0.01368394,,,,,0,,0.000173423,0,0,0.001163512,10.38954948,,,,,
1956,12.85829941,0.004871841,0.118879526,0.242419927,0.449141608,0.593739181,0.034805611,11.41444172,0.591152798,11.7467671,0.173454416,0.034805611,0.001083893,0.004308217,0,0.029498907,,0,0.029801205,,0,0,,0.006858819,,0.000263736,,0.003502649,0.003748761,0,0.00030349,,,0.20233928,0.00621028,0.009971813,0.028076564,,,,,0,,0,0,,,,,,0.029816966,,,0.028443351,,,0,,,,0.018604725,,0,0.088662426,0.015608055,0,0,0.17133731,,,0.007193257,,,,,0,,,,0,,0,,,0.074699211,,,0.00030349,,,,0.005310045,,,0,0,,0,0.007829174,,,0.016689864,0.013665483,,0,0.27223095,0.449141608,,,,,,,0.014463405,,,,,0,,0.000260134,0,0,0.00062054,11.13740323,,,,,
1957,13.97057695,0.004830303,0.134914007,0.287559737,0.691671376,0.648314556,0.043323347,12.15996363,0.645353238,12.53155308,0.210372096,0.043323347,0.001300671,0.004440101,0,0.032896687,,0,0.030361228,,0,0,,0.007495204,,0.000301412,,0.006588316,0.003474462,0,0.000260134,,,0.26316779,0.010350467,0.014307384,0.028619106,,,,,0,,0,0,,,,,,0.042991905,,,0.027668328,,,0,,,,0.016917128,,0,0.093995178,0.011662686,0,0,0.191368234,,,0.009916129,,,,,0,,,,0,,0,,,0.098768957,,,0.000130067,,,,0.005063884,,,0,0,,0,0.011703404,,,0.02010827,0.013132654,,0,0.294030379,0.691671376,,,,,,,0.015199566,,,,,0,,0.000260134,0,0,0.001124728,11.79802688,,,,,
1958,15.02656947,0.005139244,0.141958189,0.322900117,1.045342011,0.722501102,0.041856743,12.74687206,0.719164849,13.16465344,0.222986474,0.041856743,0.00151745,0.004835754,0,0.033437243,,0,0.032801326,,0,0,,0.006929528,,0.000226059,,0.012509461,0.003428745,0,0.000390201,,,0.404087171,0.018630841,0.017125505,0.035898215,,,,,0,,0,0,,,,,,0.06441081,,,0.028049666,,,0,,,,0.015435336,,0,0.090483366,0.009321478,0,0,0.198582436,,,0.014955473,,,,,0,,,,0,,0,,,0.15811333,,,4.33557E-05,,,,0.008369476,,,0,0,,0,0.01444765,,,0.017092029,0.012035654,,0,0.334969788,1.045342011,,,,,,,0.015719209,,,,,0,,0.000260134,0,0,0.001861619,12.18467156,,,,,
1959,16.77483298,0.005925704,0.16563946,0.329700711,1.317089992,0.899742796,0.054187825,14.00254649,0.896031607,14.56908151,0.247557963,0.054187825,0.001734228,0.005275368,0,0.033244187,,0,0.045121825,,0,0,,0.006010305,,0.000263736,,0.017805132,0.009509053,0,0.000216779,,,0.499216202,0.024841122,0.019943626,0.017542201,,,,,0,,0,0,,,,,,0.150240527,,,0.031401898,,,0,,,,0.013747739,,0,0.096683232,0.014480807,0,0,0.234730195,,,0.020604415,,,,,0,,,,0,,0,,,0.196292926,,,0.000390201,,,,0.007947485,,,0,0,,0,0.017555106,,,0.016890947,0.013289368,,0,0.374942124,1.317089992,,,,,,,0.016195549,,,,,0,,0.000260134,0,0,0.002404591,13.30703737,,,,,
1960,18.26036465,0.006365318,0.205310823,0.384858761,1.686207198,0.93231973,0.108484901,14.93681792,0.928359857,15.52454852,0.320870807,0.108484901,0.001864296,0.005714982,0,0.053399199,,0,0.058762376,,0,0,,0.005091082,,0.000226059,,0.022308538,0.009829069,0,0.00091047,,,0.625562086,0.034073739,0.022761748,0.01826559,,,,,0,,0,0,,,,,,0.109637061,,,0.036225646,,,0,,,,0.014077026,,0.005816419,0.10539773,0.026143493,0,0,0.247393423,,,0.029707746,,,,,0.040797723,,,,0,,0,,,0.203347852,,,0.000346846,,,,0.011604735,,,0,0,,0,0.025545706,,,0.016689864,0.017207225,,0,0.408668782,1.686207198,,,,,,,0.016628585,,,,,0,,0.00030349,0,0,0.003063914,14.10790798,,,,,
1961,19.61796451,0.010233921,0.233881832,0.455915464,2.195311276,1.041069006,0.116950646,15.56460237,1.036476505,16.26084394,0.345863996,0.116821556,0.001864296,0.009583585,0,0.091006445,,0,0.062242517,,0,0,,0.005161791,,0.001883827,,0.021974952,0.009600486,0,0.000390201,,,0.784349842,0.049723645,0.025579869,0.018853345,,,,,0,,0,0,,,,,,0.15447808,,,0.039477656,,,0,,,,0.01333613,,0.004477387,0.111337462,0.027617587,0,0.00012909,0.263356765,,,0.045516657,,,,,0.042531951,,,,0,,0,,,0.218287694,,,0.000346846,,,,0.015789473,,,0,0,,0,0.031074555,,,0.016890947,0.023005652,,0,0.439776286,2.195311276,,,,,,,0.016671889,,,,,0,,0.00030349,0,0,0.003180265,14.56196483,,,,,
1962,21.4631809,0.016342738,0.267154203,0.517231017,2.736648438,1.183414091,0.139692272,16.60269814,1.177793571,17.3876925,0.387698084,0.139218941,0.001864296,0.015562336,0,0.114983959,,8.27972E-05,0.065402645,,0,0,,0.005232501,,0.002147563,,0.021307781,0.009554769,0,0.000780403,,,1.132424094,0.065000935,0.02839799,0.02676542,,,,,0,,0,0,,,,,,0.182600025,,,0.050808512,,,0,,,,0.013994705,,0.008954774,0.117277194,0.027964433,0,0.000473331,0.274408309,,,0.058074377,,,,,0.057446315,,,,0,,0,,,0.224512628,,,0.000390201,,,,0.017547766,,,8.67114E-05,0,,0,0.03829838,,,0.017293112,0.02573248,,0,0.520043316,2.736648438,,,,,,,0.01740805,,,,,0,,0.00030349,0,0,0.004615263,15.24576142,,,,,
1963,23.48461466,0.021919525,0.306789234,0.555267062,3.34360561,1.299769972,0.165088268,17.79217499,1.290353687,18.6543822,0.433095146,0.164657968,0.001864296,0.017540599,0,0.131509525,,0.000124196,0.067962748,,0.002167785,0,,0.005091082,,0.002034534,,0.020974196,0.009051887,0,0.000693691,,,1.336622022,0.063427664,0.031216111,0.031738724,,,,,0,,0,0.002254497,,,,,,0.187261334,,,0.076759441,,,0,,,,0.025190468,,0.01121439,0.121309275,0.031432889,0,0.000430301,0.278897999,,,0.078597512,,,,,0.065857323,,,,0,,0,,,0.253147326,,,0.000476913,,,,0.020079708,,,0.001344027,0,,0,0.047983956,,,0.017695278,0.030810022,,0.003815302,0.57468292,3.34360561,,,,,,,0.017451354,,,,,0,,0.00030349,0,0,0.006166612,16.20240564,,,,,
1964,25.65938318,0.040764429,0.33180629,0.600845258,4.040897305,1.452478488,0.207156967,18.98543444,1.43978045,19.94625432,0.515268701,0.205909095,0.001864296,0.035344966,0,0.144830367,,0.000124196,0.070562853,,0.002167785,0,,0.004949663,,0.003202507,,0.022183443,0.007908972,0,0.000433557,,,1.57528944,0.05382243,0.034034232,0.037706689,,,,,0,,0,0.002254497,,,,,,0.196083149,,,0.119170785,,,0,,,,0.032270142,,0.013474006,0.118404443,0.032950339,0,0.001247872,0.301768556,,,0.085465651,,,,,0.072664169,,,,0,,0,,,0.290496931,,,0.000476913,,,,0.029363496,,,0.002341208,0,,0,0.060333065,,,0.01801701,0.038583048,,0.003425101,0.6226739,4.040897305,,,,,,,0.017451354,,,,,0,,0.000346846,0,0,0.006903503,17.11964807,,,,,
1965,27.49854712,0.112527957,0.372875691,0.650526918,4.751811758,1.63854047,0.218949574,19.75331475,1.623628236,20.81846181,0.616579675,0.215851409,0.001864296,0.105287553,0,0.163016211,,0.000165594,0.068962789,,0.002167785,0,,0.005798177,,0.003014124,,0.02852157,0.009646203,0.002852606,0.000433557,,,1.725417582,0.053160001,0.036852353,0.040961943,,,,,0,,0,0.00212443,,,,,,0.194465174,,,0.179829294,,,0,,,,0.045606273,,0.016737896,0.136830619,0.015824834,0,0.003098165,0.299389404,,,0.082905339,,,,,0.077780143,,,,0,,0,,,0.308756738,,,0.000563624,,,,0.0612941,,,0.00424886,0,,0,0.071390764,,,0.017574628,0.043190447,,0.003511812,0.6963326,4.751811758,,,,,,,0.018577247,,,,,0,,0.00030349,0,0,0.007330124,17.71914043,,,,,
1966,29.58853862,0.137667566,0.393064732,0.695559117,5.321138851,1.87065068,0.242543028,20.92791465,1.85241471,22.16421723,0.677941352,0.238455172,0.002341208,0.126828639,0,0.176723164,,0.000165594,0.074963031,,0.002601343,0,,0.004454697,,0.003503919,,0.032899881,0.009189037,0.004259371,0.000476913,,,1.605027822,0.04694972,0.039670474,0.049687832,,,,,0,,0,0.00242792,,,,,,0.198818297,,,0.224881891,,,0,,,,0.063922871,,0.015608088,0.137090754,0.026316916,0,0.004087857,0.337494208,,,0.086684847,,,,,0.074398398,,,,0,,0,,,0.314566677,,,0.000433557,,,,0.122834362,,,0.007630605,0,,0,0.080672774,,,0.018378959,0.043127762,,0.003555168,0.750126016,5.321138851,,,,,,,0.020395999,,,,,0,,0.000346846,0,0,0.007136205,19.00832015,,,,,
1967,31.84248577,0.115205108,0.420426598,0.750055932,5.860205554,2.237956667,0.291040112,22.1675958,2.216828075,23.68557425,0.7338039,0.286349834,0.002861477,0.104496248,0,0.185410669,,0.000165594,0.071882907,,0.002601343,0,,0.00530321,,0.003428566,,0.036485927,0.009920502,0.012856267,0.00030349,,,1.752832653,0.051793739,0.042488595,0.052038848,,,,,0,,0.000693691,0.00242792,,,,,,0.214304628,,,0.294035651,,,0,,,,0.084174032,,0.019499649,0.12035545,0.02263168,0,0.004690278,0.356872784,,,0.091561632,,,,,0.117407262,,,,0,,0,,,0.341541392,,,4.33557E-05,,,,0.245844552,,,0.007847383,0,,0,0.09411151,,,0.017212679,0.049145589,,0.004855839,0.833858389,5.860205554,,,,,,,0.023340644,,,,,0,,0.000390201,0,0,0.025209421,20.07322176,,,,,
1968,34.83206365,0.161272415,0.578545037,0.803656641,6.294049474,2.874243931,0.384845963,23.73545019,2.847857999,25.84455639,0.872191467,0.378735693,0.003295034,0.150260065,0,0.206415127,,0.000248392,0.065202637,,0.011706042,0,,0.004596116,,0.002863418,,0.040238765,0.009737636,0.019772861,0.000520269,,,2.024279879,0.062061403,0.045306717,0.054841983,,,,,0,,0.00060698,0.00242792,,,,,,0.218888891,,,0.456781262,,,0,,,,0.110475845,,0.025274223,0.185865927,0.031259467,0,0.00611027,0.39916029,,,0.098145291,,,,,0.144764714,,,,0,,0,,,0.366441129,,,0.00182094,,,,0.496330999,,,0.006373289,0,,0,0.105613131,,,0.019143073,0.08017501,,0.022241479,0.883864104,6.294049474,,,,,,,0.027324576,,,,,0,,0.000390201,0,0,0.085285409,21.34472918,,,,,
1969,38.25272914,0.135287242,0.587042456,0.846363141,6.741441711,3.711107548,0.573256809,25.65823023,3.678428623,28.54351045,1.037950898,0.562810968,0.003815302,0.127136369,0,0.207187349,,0.010970632,0.059322399,,0.01344027,0,,0.003889021,,0.004182097,,0.050913505,0.008731871,0.02051532,0.000737047,,,2.374719683,0.075848225,0.05527853,0.060493465,,,,,0,,0.00060698,0.003078255,,,,,,0.250632017,,,0.654205722,,,0,,,,0.133155499,,0.030504815,0.112898268,0.03880336,0,0.00611027,0.458946074,,,0.106395185,,,,,0.16158673,,,,0,,0,,,0.418730577,,,0.001907651,,,,0.769921418,,,0.002774765,0,,0,0.130109566,,,0.019505022,0.122863972,,0.036852353,0.970578285,6.741441711,,,,,,,0.030745561,,,,,0,,0.000390201,0,0,0.203653335,22.86477997,,,,,
1970,42.34555533,0.144100057,0.70093588,0.94114208,7.36764196,4.816529986,0.950516803,27.42468856,4.773651319,31.4162196,1.45455544,0.937380303,0.00424886,0.121685155,0.001864296,0.232245976,,0.062222116,0.075883069,,0.015174498,0,,0.003606183,,0.003993714,,0.052706527,0.010240518,0.018522403,0.000390201,,,2.723765501,0.093526823,0.073704706,0.06619016,,,,,0,,0.00060698,0.003685235,,,,,,0.265039699,,,1.00016051,,,0,,,,0.142787148,,0.028287044,0.13318874,0.034034232,0,0.005766029,0.503996467,,,0.095869458,,,,,0.175200422,,,,0.009755035,,0,,,0.485129875,,,0.002081074,,,,1.113632568,,,0.004812484,0,,0,0.14064263,,,0.019143073,0.162418649,,0.043442421,1.0198184,7.36764196,,,,,,,0.032477705,,,,,0,,0.000216779,0,0,0.435308518,24.21579318,,,,,
1971,45.27688384,0.174227938,0.809748489,1.014425629,7.905592043,5.90199306,1.153867159,28.31702952,5.850486529,33.41036351,1.676155166,1.139947,0.005462819,0.127663906,0.001864296,0.248925986,,0.092650096,0.075643059,,0.022111412,0.018038281,,0.003747602,,0.002675035,,0.049078784,0.010057652,0.012778114,0.00030349,,,2.98921436,0.134349067,0.098200682,0.070666133,,,,,0,,0.00060698,0.003685235,,,,,,0.275402443,,,1.311283449,,,0,,,,0.15250112,,0.031550934,0.148796795,0.037719467,0,0.005335729,0.51604572,,,0.098876809,,,,,0.195100693,,,,0.030739198,,0.00364188,,,0.480149928,,,0.002254497,,,,1.538225206,,,0.007977451,0,,0,0.140239064,,,0.019303939,0.167778276,,0.043572488,1.076633918,7.905592043,,,,,,,0.001125894,,,,,0,,4.33557E-05,0.000534082,0,0.719321729,24.84766524,,,,,
1972,47.97508778,0.301148134,0.95448737,1.157166673,8.240131264,7.123966225,1.323539048,28.87464906,7.068037868,35.23916307,1.924334964,1.308361573,0.006286578,0.157293889,0.002471275,0.242786816,,0.131978779,0.078523175,,0.048991952,0.024154933,,0.003889021,,0.050561927,,0.051789167,0.02070962,0.008596896,0.000737047,,,3.4850512,0.150868413,0.110557059,0.078080878,,,,,0,,0.000737047,0.003078255,,,,,,0.289578985,,,1.622625059,,,0,,,,0.168183421,,0.038790074,0.178885658,0.040494233,0,0.005335729,0.539606998,,,0.100583683,,,,,0.222241367,,,,0.12278337,,0.005115974,,,0.49882473,,,0.002818121,,,,2.054389752,,,0.011836109,0,,0,0.153153165,,,0.019545238,0.182509416,,0.047821348,1.088440264,8.240131264,,,,,,,8.66072E-05,,,,,0,,0.000867114,0.000534082,0,1.031608275,24.89077313,,,,,
1973,50.67259553,0.430968278,1.212498719,1.292759379,8.796207805,8.094781814,1.552575714,29.29280382,8.033462538,36.56458555,2.282408428,1.54166766,0.008237585,0.208596843,0.002818121,0.259814326,,0.169651517,0.090803672,,0.069455847,0.028674243,,0.004454697,,0.076709452,,0.049203878,0.13161809,0.00867505,0.000650336,,,3.731364423,0.150454394,0.127899343,0.083280242,,,,,0,,0.00121396,0.002471275,,,,,,0.290696158,,,1.866544552,,,0,,,,0.19843668,,0.038204248,0.218122575,0.052460409,0,0.002323624,0.584887631,,,0.105460468,,,,,0.228354522,,,,0.19644472,,0.005115974,,,0.543644257,,,0.002557987,,,,2.490938782,,,0.01313678,0,,0,0.177568887,,,0.020510435,0.188903357,,0.068502021,1.190547017,8.796207805,,,,,,,0.000129911,,,,,0,,0.004942551,0.000534082,0,1.118445033,25.01779514,,,,,
1974,51.81034211,0.458639537,1.619122251,1.32021553,9.679974966,8.910702666,1.737550218,28.08413694,8.843661817,36.14712508,2.512175857,1.726906206,0.008801209,0.247107029,0.002948188,0.279621838,,0.193579915,0.088243568,,0.088272225,0.033115634,,0.002156639,,0.075729861,,0.062046925,0.228582998,0.007033824,0.000867114,,,3.642909632,0.140766357,0.350747691,0.073333633,,,,,0,,0.00121396,0.002601343,,,,,,0.293855061,,,1.976664762,,,0,,,,0.209673604,,0.042263187,0.248514927,0.051549939,0,0.002839985,0.586077207,,,0.104525751,,,,,0.229438415,,,,0.176674517,,0.01070886,,,0.578918884,,,0.003078255,,,,2.94426193,,,0.017515707,0.000492322,,0,0.1856402,,,0.021314766,0.179876616,,0.056362422,1.226570473,9.679974966,,,,,,,0.000129911,,,,,0,,0.008714498,0.000534082,0,1.329118221,23.86230842,,,,,
1975,51.98414589,0.653767877,1.776805215,1.348176947,10.76674356,9.164449378,1.766836495,26.50736641,9.085375053,34.72831144,2.677998007,1.755193348,0.013006713,0.419040065,0.002818121,0.29498907,,0.20806943,0.094363816,,0.089963097,0.025947073,,0.001803091,,0.077990454,,0.067759578,0.274299598,0.000429845,0.009408189,,,3.695585432,0.141014768,0.401040314,0.081245708,,,,,0,,0.001344027,0.002384564,,,,,,0.282760376,,,1.80335254,,,0,,,,0.213295763,,0.052389614,0.272837481,0.071710344,0,0.002581804,0.558793707,,,0.098998728,,,,,0.225623113,,,,0.200953714,,0.012876646,,,0.597676686,,,0.001994363,,,,3.194924206,,,0.017428995,0.006857343,,0,0.201782826,,,0.045766423,0.186897415,,0.095772763,1.342055065,10.76674356,,,,,,,0.000129911,,,,,0,,0.009148055,0.000534082,0,1.406569318,22.21410429,,,,,
1976,54.20924899,0.703219489,2.074491388,1.423114094,11.94607992,9.817258254,1.822773997,26.42231185,9.721380564,35.26483757,2.793800417,1.810696641,0.015174498,0.436668586,0.002471275,0.297691849,,0.245452378,0.085763468,,0.094428736,0.034557138,,0.001202061,,0.080024988,,0.068385051,0.317867517,0.001445842,0.01040537,,,3.702513123,0.16631131,0.444396023,0.077357488,,,,,0,,0.001344027,0.01647517,,,,,,0.267274045,,,1.925690903,,,0,,,,0.250340569,,0.063352936,0.383221117,0.09135048,0,0.002495744,0.600275372,,,0.101315201,,,,,0.241794792,,,,0.207196936,,0.015347921,,,0.679140326,,,0.003728591,,,,3.42170886,,,0.027400808,0.011499237,,0,0.207473102,,,0.048460931,0.209965752,,0.063993027,1.463906218,11.94607992,,,,,,,0.000129911,,,,,0,,0.009278122,0.000801123,0,1.493677562,22.0406584,,,,,
1977,59.33853469,0.663932827,2.324473636,1.516729755,16.22831593,9.968612942,1.944108265,26.69236134,9.77304518,35.79685252,2.909119415,1.932984409,0.015174498,0.379562728,0.003078255,0.300664907,,0.280103017,0.095723871,,0.102492897,0.035686966,,0.00134348,,0.084508497,,0.075390349,0.414649558,0.000390768,0.010795572,,,3.86590526,0.156954488,0.542379927,0.095035325,,,,,0,,0.001734228,0.019770204,,,,,,0.292699365,,,1.95311833,,,0,,,,0.272114683,,0.068248771,0.350140711,0.068502021,0,0.002452714,0.526368169,,,0.113954201,,,,,0.258443385,,,,0.218989689,,0.01404725,,,0.705160551,,,0.003728591,,,,3.407537017,,,0.028831547,0.104548112,,0,0.203679585,,,0.048983746,0.228677434,,0.069672625,1.421637085,16.22831593,,,,,,,0.000173214,,,,,0,,0.009971813,0.000839272,0,1.573261764,22.12129553,,,,,
1978,57.52758051,0.927117048,2.661543679,1.505958762,13.85330335,10.24206079,2.045684805,26.29191207,9.630352246,35.65550909,3.221130199,2.027968927,0.015347921,0.619811779,0.003078255,0.283907674,,0.303203443,0.096563905,,0.112724845,0.037829742,,0.00134348,,0.082963759,,0.080602624,0.40642057,0.001250458,0.012139599,,,3.697359597,0.144906544,0.596791343,0.12460388,,,,,0,,0.001734228,0.031649668,,,,,,0.293161643,,,2.089546732,,,0,,,,0.302367942,,0.072433245,0.52911308,0.069759337,0,0.002194534,0.525792568,,,0.107329902,,,,,0.271406742,,,,0.222024589,,0.104530616,,,0.875350253,,,0.003511812,,,,3.120267077,,,0.034641212,0.519012981,,0.006850202,0.209329504,,,0.036315536,0.250460714,,0.064123094,1.432194295,13.85330335,,,,,,,0.000649554,,,,,0,,0.012399733,0.000839272,0,1.516753878,21.71920222,,,,,
